X,Y,OBJECTID,СТАТУ,ID,ОБЛАС,РАЙОН,Н__ПУН,АДРЕС,КАДАС,ЗАМОВ,КОНТА,Y,X,ПОСИЛ,X_1,Y_1,icon_url
29.349557631,49.7114147130001,"24",ГОТОВИЙ,"4420",Запорізька,Токмацький,с.Молочанівка,вул.Миру,Х,ТОВ ІНЖЕНЕРБУДПРОЕКТ,Диняк Сергій Анатолієвич,"49,71141471270964","29,3495576309501",I:\04 Геологічний\ІВ\ОБМІН\2019\07 ЛИПЕНЬ\4420_Молочанськ,29.34955763100,49.71141471270,./0.png
30.6111069340001,50.3872744860001,"25",ГОТОВИЙ,"4421",Київська,Дарницький,м.Київ,Осокорки,Х,ФО,Дмитро,"50,38727448554666","30,61110693356302",I:\04 Геологічний\ІВ\ОБМІН\2019\07 ЛИПЕНЬ\4421_Осокорки,30.61110693360,50.38727448550,./0.png
30.6659825680001,50.4031938850001,"26",ГОТОВИЙ,"4423",Київська,Дарницький,м.Київ,м.Вирлиця (2),Х,ТОВ МАКРО ІНВЕСТИЦІЙНА КОМПАНІЯ,Х,"50,403193885025345","30,665982568321187",I:\04 Геологічний\ІВ\ОБМІН\2019\12 ГРУДЕНЬ\4423_Вирлиця,30.66598256830,50.40319388500,./0.png
30.521108783,50.4874634820001,"27",ГОТОВИЙ,"4444",Київська,Оболонський,м.Київ,"просп. Степана Бандери, 36(Блокбастер Молл)",Х,ТОВ «БК «БУДІВЕЛЬНІ ТЕХНОЛОГІЇ»,Х,"50,48746348211468","30,52110878304494","0",30.52110878300,50.48746348210,./0.png
30.5340414830001,50.3433668600001,"28",ГОТОВИЙ,"4458",Київська,Голосіївський,м.Київ,"вул. Академіка Заболотного, 35",Х,"ТОВ К.С.К.""ГРУП",Х,"50,34336686038188","30,534041483041204","0",30.53404148300,50.34336686040,./0.png
30.533564202,50.448199263,"29",ГОТОВИЙ,"4488",Київська,Печерський,м. Київ,вул. Грушевського (КАБМІН),Х,ТОВ ПРОЕКТНА КОМПАНІЯ АРКОН,Олександр,"50,448199263310734","30,53356420208706","0",30.53356420210,50.44819926330,./0.png
30.5190217700001,50.4864498540001,"30",ГОТОВИЙ,"4549",Київська,Оболонський,м.Київ,"просп. Степана Бандери, 36(Блокбастер Молл)",Х,ТОВ «БК «БУДІВЕЛЬНІ ТЕХНОЛОГІЇ»,Х,"50,486449853699014","30,519021769552143","0",30.51902176960,50.48644985370,./0.png
30.4457455560001,50.6258636220001,"31",ГОТОВИЙ,"4555",Київська,Вишгородський,с.Нові Петрівці,вул.Островського,Х,ФО,Х,"50,62586362182007","30,445745556063113",I:\04 Геологічний\ІВ\ОБМІН\2019\10 ЖОВТЕНЬ\4555 Нові Петрівці,30.44574555610,50.62586362180,./0.png
30.562177514,50.5718635800001,"32",ГОТОВИЙ,"4558",Київська,Вишгородський,с.Лебедівка,3221888800:38:140:6840,Х,ФО,Валько Олег,"50,571863580430936","30,562177514299893",I:\04 Геологічний\ІВ\ОБМІН\2019\10 ЖОВТЕНЬ\4558 Осещина,30.56217751430,50.57186358040,./0.png
30.5190003120001,50.4864566800001,"33",ГОТОВИЙ,"4570",Київська,Оболонський,м.Київ,"просп. Степана Бандери, 36(Блокбастер Молл)",Х,ТОВ «БК «БУДІВЕЛЬНІ ТЕХНОЛОГІЇ»,Х,"50,486456680035005","30,519000311880696","0",30.51900031190,50.48645668000,./0.png
30.4894240560001,50.5427484800001,"34",ГОТОВИЙ,"4579",Київська,Оболонський,м.Київ,"вул.Богатирська, 30б",Х,"ТОВ ""ІНЖИНІРИНГОВА КОМПАНІЯ ПЛАНЕТА
БУД""",Леонід,"50,542748480133675","30,489424056060905","0",30.48942405610,50.54274848010,./0.png
30.4852171250001,50.439419694,"35",ГОТОВИЙ,"4591",Київська,Солом'янський,м.Київ,вул.Ползунова,Х,ТОВ СТАНДАРТПРОЕКТ,Кудрявцев Михайло,"50,43941969382695","30,485217124606873","0",30.48521712460,50.43941969380,./0.png
31.4434018640001,50.0440677300001,"36",ГОТОВИЙ,"4596",Київська,Переяслав-Хмельницький,м.Переяслав,"Н-08 км 43+000 -
км 50+700",Х,ТОВ ПРОЕКТДОРМІСТТЕХНОЛОГІЯ,Олександр Реутов,"50,044067729527356","31,443401863810333",I:\04 Геологічний\ІВ\ОБМІН\2019\12 ГРУДЕНЬ\4596 Н-08 проміжні матеріали,31.44340186380,50.04406772950,./0.png
29.7995020370001,49.60524623,"37",ГОТОВИЙ,"4597",Київська,Сквирський,м.Сквира,"Р-18 км 114+435 - км
124+735",Х,ТОВ ПРОЕКТДОРМІСТТЕХНОЛОГІЯ,Олександр Реутов,"49,6052462302719","29,799502036650228",I:\04 Геологічний\ІВ\ОБМІН\2019\12 ГРУДЕНЬ\4597_P-18 Сквира,29.79950203670,49.60524623030,./0.png
27.3037902710001,50.39502416,"38",ГОТОВИЙ,"4610",Житомирська,Баранівський,с.Закриниччя,"С060201 (Дубрівка – Хижівка) – через Закриниччя, Забару км 4+500 – км 10+000",Х,"ДОРОГИ І МОСТИ, ТОВ",Ігор Замана,"50,395024159823016","27,30379027052821",I:\04 Геологічний\ІВ\ОБМІН\2019\12 ГРУДЕНЬ\4610_Закриниччя,27.30379027050,50.39502415980,./0.png
